list_uid,list_category,list_item
050-000000,appliances,dishwasher
050-000001,utilities,electricity
050-000002,utilities,water
050-000003,utilities,gas
050-000004,utilities,trash
050-000005,utilities,sewer
050-000006,utilities,internet
050-000007,utilities,cable
050-000008,utilities,"hoa dues"
050-000009,utilities,"security system"
050-000010,utilities,"pest control"
050-000011,utilities,gardener
050-000012,utilities,maintenance
050-000013,utilities,NULL
050-000014,utilities,NULL
050-000015,utilities,NULL
050-000016,utilities,NULL
050-000017,utilities,NULL
050-000018,utilities,NULL
050-000019,utilities,other
050-000020,appliances,range
050-000021,appliances,oven
050-000022,appliances,cooktop
050-000023,appliances,refrigerator
050-000024,appliances,microwave
050-000025,appliances,dishwasher
050-000026,appliances,furnace
050-000027,appliances,"ac evaporator"
050-000028,appliances,"ac condensor"
050-000029,appliances,"range hood"
050-000030,appliances,"garbage disposal"
050-000031,appliances,freezer
050-000032,appliances,"garage door opener"
050-000033,appliances,"ceiling fan"
050-000034,appliances,"washing machine"
050-000035,appliances,dryer
050-000036,appliances,"water heater"
050-000037,appliances,furnace
050-000038,appliances,"toaster oven"
050-000039,appliances,"coffee maker"
050-000040,appliances,NULL
050-000041,appliances,NULL
050-000042,appliances,NULL
050-000043,appliances,NULL
050-000044,appliances,NULL
050-000045,appliances,NULL
050-000046,appliances,NULL
050-000047,appliances,NULL
050-000048,appliances,NULL
050-000049,appliances,NULL
050-000050,appliances,other
050-000051,states,AL
050-000052,states,AK
050-000053,states,AZ
050-000054,states,AR
050-000055,states,CA
050-000056,states,CO
050-000057,states,CT
050-000058,states,DE
050-000059,states,FL
050-000060,states,GA
050-000061,states,HI
050-000062,states,ID
050-000063,states,IL
050-000064,states,IN
050-000065,states,IA
050-000066,states,KS
050-000067,states,KY
050-000068,states,LA
050-000069,states,ME
050-000070,states,MD
050-000071,states,MA
050-000072,states,MI
050-000073,states,MN
050-000074,states,MS
050-000075,states,MO
050-000076,states,MT
050-000077,states,NE
050-000078,states,NV
050-000079,states,NH
050-000080,states,NJ
050-000081,states,NM
050-000082,states,NY
050-000083,states,NC
050-000084,states,ND
050-000085,states,OH
050-000086,states,OK
050-000087,states,OR
050-000088,states,PA
050-000089,states,RI
050-000090,states,SC
050-000091,states,SD
050-000092,states,TN
050-000093,states,TX
050-000094,states,UT
050-000095,states,VT
050-000096,states,VA
050-000097,states,WA
050-000098,states,WV
050-000099,states,WI
050-000100,states,WY
050-000101,relationships,self
050-000102,relationships,spouse
050-000103,relationships,son
050-000104,relationships,daughter
050-000105,relationships,parent
050-000106,relationships,cousin
050-000107,relationships,NULL
050-000108,relationships,NULL
050-000109,relationships,other
050-000110,content,Lease
050-000111,content,Quote
050-000112,content,Application
050-000113,content,"Drivers License"
050-000114,content,Contract
050-000115,content,Agreement
050-000116,content,Waiver
050-000117,content,Estimate
050-000118,content,NULL
050-000119,content,other
050-000120,basis,"Gross Rent"
050-000121,basis,"Net Rent"
050-000122,NULL,NULL
050-000123,NULL,NULL
050-000124,basis,NULL
050-000125,basis,"Utility Bill"
050-000126,basis,"Maintenance Bill"
050-000127,basis,NULL
050-000128,basis,NULL
050-000129,basis,other
050-000130,frequency,"One Time"
050-000131,NULL,NULL
050-000132,frequency,Weekly
050-000133,frequency,Bi-Weekly
050-000134,frequency,Semi-Monthly
050-000135,frequency,Monthly
050-000136,frequency,Quarterly
050-000137,frequency,Semi-Annually
050-000138,frequency,Annually
050-000139,frequency,other
050-000140,type,Cat
050-000141,type,Dog
050-000142,NULL,NULL
050-000143,NULL,NULL
050-000144,NULL,NULL
050-000145,NULL,NULL
050-000146,NULL,NULL
050-000147,NULL,NULL
050-000148,NULL,NULL
050-000149,type,other
050-000150,expense,"Bill Posting"
050-000151,expense,Insurance
050-000152,expense,Maintenance
050-000153,expense,Management
050-000154,expense,Mortgage
050-000155,expense,Repairs
050-000156,expense,Taxes
050-000157,expense,Utilities
050-000158,NULL,NULL
050-000159,expense,other
050-000160,revenue,Deposit
050-000161,revenue,"Extra Charge"
050-000162,revenue,"Late Fee"
050-000163,revenue,Maintenance
050-000164,revenue,Rent
050-000165,revenue,Repairs
050-000166,revenue,Utilities
050-000167,revenue,NULL
050-000168,NULL,NULL
050-000169,revenue,other
050-000170,maintenance,Plumbing
050-000171,maintenance,Electrical
050-000172,maintenance,Appliance
050-000173,maintenance,HVAC
050-000174,NULL,NULL
050-000175,NULL,NULL
050-000176,NULL,NULL
050-000177,NULL,NULL
050-000178,NULL,NULL
050-000179,maintenance,other
050-000180,priority,High
050-000181,priority,Medium
050-000182,priority,Low
050-000183,NULL,NULL
050-000184,NULL,NULL
050-000185,NULL,NULL
050-000186,NULL,NULL
050-000187,NULL,NULL
050-000188,NULL,NULL
050-000189,NULL,NULL
050-000190,bid,Fixed
050-000191,bid,Hourly
050-000192,NULL,NULL
050-000193,NULL,NULL
050-000194,NULL,NULL
050-000195,NULL,NULL
050-000196,NULL,NULL
050-000197,NULL,NULL
050-000198,NULL,NULL
050-000199,NULL,NULL
050-000200,NULL,NULL
050-000201,feeType,Percentage
050-000202,feeType,"Flat Rate"
050-000203,NULL,NULL
050-000204,NULL,NULL
050-000205,NULL,NULL
050-000206,NULL,NULL
050-000207,NULL,NULL
050-000208,NULL,NULL
050-000209,NULL,NULL
050-000210,NULL,NULL
050-000211,propertyType,"Single Family"
050-000212,propertyType,"Multi Family"
050-000213,propertyType,Condo
050-000214,propertyType,Apartment
050-000215,propertyType,"Tiny Home"
050-000216,NULL,NULL
050-000217,NULL,NULL
050-000218,NULL,NULL
050-000219,propertyType,other
050-000220,purchaseType,"Bill Posting"
050-000221,purchaseType,Deposit
050-000222,purchaseType,"Extra Charge"
050-000223,purchaseType,Insurance
050-000224,purchaseType,"Late Fee"
050-000225,purchaseType,Maintenance
050-000226,purchaseType,Management
050-000227,purchaseType,Mortgage
050-000228,purchaseType,Rent
050-000229,purchaseType,"Rent due Owner"
050-000230,purchaseType,Repairs
050-000231,purchaseType,Taxes
050-000232,purchaseType,Utilities
050-000233,purchaseType,"Late Fee due Owner"
050-000234,purchaseType,NULL
050-000235,purchaseType,NULL
050-000236,purchaseType,NULL
050-000237,purchaseType,NULL
050-000238,purchaseType,NULL
050-000239,purchaseType,other
050-000240,"110-NEW REQUEST",#A52A2A
050-000241,"110-INFO REQUESTED",#C06A6A
050-000242,110-PROCESSING,#D29494
050-000243,110-SCHEDULED,#9EAED6
050-000244,110-CANCELLED,#778DC5
050-000245,110-COMPLETED,#3D5CAC
050-000246,ownerColor,NULL
050-000247,ownerColor,NULL
050-000248,ownerColor,NULL
050-000249,ownerColor,NULL
050-000250,"600-NEW REQUEST",#B62C2A
050-000251,"600-QUOTES REQUESTED",#D4736D
050-000252,"600-QUOTES ACCEPTED",#DEA19C
050-000253,600-SCHEDULED,#92A9CB
050-000254,600-COMPLETED,#6788B3
050-000255,600-PAID,#173C8D
050-000256,managerColor,NULL
050-000257,managerColor,NULL
050-000258,managerColor,NULL
050-000259,managerColor,NULL
050-000260,maintenanceColor,#A52A2A
050-000261,maintenanceColor,#C06A6A
050-000262,maintenanceColor,#D29494
050-000263,maintenanceColor,#9EAED6
050-000264,maintenanceColor,#778DC5
050-000265,maintenanceColor,#3D5CAC
050-000266,maintenanceColor,NULL
050-000267,maintenanceColor,NULL
050-000268,maintenanceColor,NULL
050-000269,maintenanceColor,NULL
050-000270,propertyColor,#B62C2A
050-000271,propertyColor,#D4736D
050-000272,propertyColor,#DEA19C
050-000273,propertyColor,#92A9CB
050-000274,propertyColor,#6788B3
050-000275,propertyColor,#173C8D
050-000276,propertyColor,NULL
050-000277,propertyColor,NULL
050-000278,propertyColor,NULL
050-000279,propertyColor,NULL
050-000280,role,owner
050-000281,role,"property manager"
050-000282,role,tenant
050-000283,role,maintenance
050-000284,role,NULL
050-000285,role,NULL
050-000286,role,NULL
050-000287,role,NULL
050-000288,role,NULL
050-000289,role,user
